str_VAR_NAMES,ENGLISH,FRENCH,GERMAN,ITALIAN,SPANISH
str_FAV_NUM_REACHED,64 REACHED!,FRA,DEU,ITA,ESP
str_EDITING_DISABLED,EDITING DISABLED ,FRA,DEU,ITA,ESP
str_DATE_AND_TIME,DATE AND TIME,FRA,DEU,ITA,ESP
str_BLUETOOTH,BLUETOOTH,FRA,DEU,ITA,ESP
str_INITIALIZING_BLUETOOTH,INITIALIZING BLUETOOTH,FRA,DEU,ITA,ESP
str_BACK_LIGHT,BACK LIGHT,FRA,DEU,ITA,ESP
str_GRAPH_DETAIL,GRAPH DETAIL,FRA,DEU,ITA,ESP
str_GRAPH_DETAIL_0,GRAPH DETAIL 0,FRA,DEU,ITA,ESP
str_GRAPH_DETAIL_1,GRAPH DETAIL 1,FRA,DEU,ITA,ESP
str_GRAPH_DETAIL_2,GRAPH DETAIL 2,FRA,DEU,ITA,ESP
str_GRAPH_DETAIL_3,GRAPH DETAIL 3,FRA,DEU,ITA,ESP
str_GRAPH_DETAIL_4,GRAPH DETAIL 4,FRA,DEU,ITA,ESP
str_LANGUAGE,LANGUAGE,FRA,DEU,ITA,ESP
str_TESTS_REQUIRE_SLOPE,REQUIRE SLOPE,FRA,DEU,ITA,ESP
str_ABOUT_DEVICE,ABOUT DEVICE,FRA,DEU,ITA,ESP
str_INITIALIZING,INITIALIZING,FRA,DEU,ITA,ESP
str_THE_DEVICE_IS_NOW,THE DEVICE IS NOW,FRA,DEU,ITA,ESP
str_DISCOVERABLE,DISCOVERABLE.,FRA,DEU,ITA,ESP
str_PLEASE_CONNECT,PLEASE CONNECT,FRA,DEU,ITA,ESP
str_YOUR_DEVICE,YOUR DEVICE,FRA,DEU,ITA,ESP
str_CONNECTED,CONNECTED,FRA,DEU,ITA,ESP
str_PREPARING_TO_SYNC,PREPARING TO SYNC,FRA,DEU,ITA,ESP
str_SYNCING,SYNCING,FRA,DEU,ITA,ESP
str_SYNC_COMPLETE,SYNC COMPLETE!,FRA,DEU,ITA,ESP
str_SYNC_FAILED,SYNC FAILED!,FRA,DEU,ITA,ESP
str_PLEASE_TRY_AGAIN,PLEASE TRY AGAIN,FRA,DEU,ITA,ESP
str_PLEASE_TURN,PLEASE TURN,FRA,DEU,ITA,ESP
str_ON_BLUETOOTH,ON BLUETOOTH,FRA,DEU,ITA,ESP
str_TO_SEND_THE_FILE,TO SEND THE FILE,FRA,DEU,ITA,ESP
str_NO_TESTS_AVAILABLE,NO TESTS AVAILABLE,FRA,DEU,ITA,ESP
str_TO_SYNC,TO SYNC!,FRA,DEU,ITA,ESP
str_DATE,DATE,FRA,DEU,ITA,ESP
str_TIME_FORMAT,TIME FORMAT,FRA,DEU,ITA,ESP
str_TIME_ZONE,TIME ZONE,FRA,DEU,ITA,ESP
str_TIME,TIME,FRA,DEU,ITA,ESP
str_ZONE,ZONE,FRA,DEU,ITA,ESP
str_DAYLIGHT_SAVINGS_TIME_1,DAYLIGHT,FRA,DEU,ITA,ESP
str_DAYLIGHT_SAVINGS_TIME_2,SAVINGS TIME,FRA,DEU,ITA,ESP
